,Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,Year,Board_Type,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
26,Michael Llodra,270.9,63.2%,71.7%,51.9%,80.1%,7.4,3.4,2007,serve,,,,,
27,Dmitry Tursunov,270.9,56.5%,74.8%,53.6%,81.8%,8.2,4.0,2007,serve,,,,,
28,Luis Horna,270.7,69.3%,69.7%,50.0%,79.7%,4.3,2.3,2007,serve,,,,,
29,Amer Delic,270.3,58.9%,73.0%,50.4%,80.0%,10.1,2.1,2007,serve,,,,,
30,Lleyton Hewitt,269.8,53.7%,75.6%,53.4%,82.8%,7.6,3.3,2007,serve,,,,,
31,Juan Carlos Ferrero,269.6,68.1%,67.4%,53.3%,78.5%,4.0,1.7,2007,serve,,,,,
32,Carlos Moya,269.3,61.9%,71.9%,50.9%,81.6%,5.8,2.8,2007,serve,,,,,
33,Mikhail Youzhny,269.0,59.6%,72.3%,52.4%,81.9%,4.8,2.0,2007,serve,,,,,
34,Paul-Henri Mathieu,268.8,56.1%,74.3%,53.4%,82.5%,4.8,2.3,2007,serve,,,,,
35,Potito Starace,268.7,71.6%,65.8%,53.5%,77.5%,1.9,1.6,2007,serve,,,,,
36,Juan Monaco,268.4,65.4%,67.8%,55.5%,78.4%,3.2,1.9,2007,serve,,,,,
37,Juan Martin del Potro,268.1,62.2%,70.5%,52.7%,79.0%,6.4,2.7,2007,serve,,,,,
38,Arnaud Clement,268.0,56.0%,75.4%,51.8%,81.9%,5.6,2.7,2007,serve,,,,,
39,Marat Safin,268.0,58.1%,72.7%,52.0%,80.2%,8.2,3.2,2007,serve,,,,,
40,Florent Serra,267.0,62.8%,70.4%,51.4%,79.8%,4.7,2.1,2007,serve,,,,,
41,Benjamin Becker,266.6,52.0%,76.2%,51.3%,82.0%,8.2,3.1,2007,serve,,,,,
42,Hyung-Taik Lee,266.5,63.3%,70.1%,52.2%,79.5%,3.0,1.6,2007,serve,,,,,
43,David Ferrer,266.3,65.5%,68.5%,52.2%,78.8%,2.9,1.6,2007,serve,,,,,
44,Marcos Baghdatis,266.2,52.2%,74.9%,53.3%,81.7%,6.8,2.7,2007,serve,,,,,
45,Marc Gicquel,265.7,57.5%,73.7%,50.1%,80.3%,6.0,1.9,2007,serve,,,,,
46,Philipp Kohlschreiber,265.7,60.5%,70.6%,52.8%,79.6%,4.6,2.4,2007,serve,,,,,
47,Guillermo Canas,265.4,57.3%,73.4%,51.8%,79.3%,5.7,2.1,2007,serve,,,,,
48,Nikolay Davydenko,264.6,67.2%,69.4%,49.8%,78.1%,3.5,3.4,2007,serve,,,,,
49,Andy Murray,264.2,54.5%,73.6%,52.1%,80.5%,6.1,2.6,2007,serve,,,,,
50,David Nalbandian,263.9,58.1%,72.0%,51.1%,80.4%,5.6,3.3,2007,serve,,,,,
1,David Ferrer,,,,,,,,2007,return,176.3,34.6%,57.1%,36.1%,48.5%
2,Rafael Nadal,,,,,,,,2007,return,166.2,34.5%,54.5%,33.0%,44.2%
3,Juan Monaco,,,,,,,,2007,return,164.8,32.3%,54.2%,30.6%,47.7%
4,Filippo Volandri,,,,,,,,2007,return,164.8,33.4%,51.7%,31.2%,48.5%
5,Nikolay Davydenko,,,,,,,,2007,return,163.2,34.6%,53.7%,31.1%,43.8%
6,Gilles Simon,,,,,,,,2007,return,161.2,32.2%,53.1%,28.8%,47.1%
7,Tommy Robredo,,,,,,,,2007,return,160.8,32.4%,52.9%,29.1%,46.4%
8,Andy Murray,,,,,,,,2007,return,160.1,34.0%,54.5%,31.8%,39.8%
9,Lleyton Hewitt,,,,,,,,2007,return,158.1,30.2%,52.7%,27.2%,48.0%
10,Guillermo Canas,,,,,,,,2007,return,158.0,33.0%,51.4%,28.2%,45.4%
11,Richard Gasquet,,,,,,,,2007,return,157.0,33.0%,50.3%,28.4%,45.3%
12,Novak Djokovic,,,,,,,,2007,return,156.0,32.0%,53.0%,28.2%,42.8%
13,Roger Federer,,,,,,,,2007,return,155.5,33.9%,52.4%,28.6%,40.6%
14,Juan Martin del Potro,,,,,,,,2007,return,152.7,30.4%,50.7%,25.6%,46.0%
15,Marcos Baghdatis,,,,,,,,2007,return,152.5,31.5%,50.7%,26.1%,44.2%
16,Jarkko Nieminen,,,,,,,,2007,return,151.9,31.3%,53.7%,27.1%,39.8%
17,Paul-Henri Mathieu,,,,,,,,2007,return,151.8,31.0%,53.0%,26.5%,41.3%
18,Mikhail Youzhny,,,,,,,,2007,return,151.8,31.4%,51.3%,27.3%,41.8%
19,David Nalbandian,,,,,,,,2007,return,151.6,28.9%,55.0%,26.3%,41.4%
20,Robin Soderling,,,,,,,,2007,return,151.6,32.1%,50.3%,25.5%,43.7%
21,Juan Ignacio Chela,,,,,,,,2007,return,151.2,33.0%,51.5%,27.1%,39.6%
22,James Blake,,,,,,,,2007,return,150.1,28.9%,53.6%,25.0%,42.6%
23,Andreas Seppi,,,,,,,,2007,return,149.8,29.1%,51.1%,24.1%,45.5%
24,Jonas Bjorkman,,,,,,,,2007,return,148.6,31.4%,51.5%,25.5%,40.2%
25,Martin Vassallo Arguello,,,,,,,,2007,return,147.7,31.3%,51.2%,25.0%,40.2%
26,Juan Carlos Ferrero,,,,,,,,2007,return,147.6,30.6%,51.2%,25.5%,40.3%
27,Tommy Haas,,,,,,,,2007,return,147.6,29.4%,51.1%,25.0%,42.1%
28,Tomas Berdych,,,,,,,,2007,return,147.1,27.8%,52.3%,24.0%,43.0%
29,Florian Mayer,,,,,,,,2007,return,147.0,29.4%,51.0%,25.3%,41.3%
30,Sebastien Grosjean,,,,,,,,2007,return,146.9,29.9%,50.6%,24.2%,42.2%
31,Fernando Verdasco,,,,,,,,2007,return,145.6,31.2%,49.6%,24.2%,40.6%
32,Sergio Roitman,,,,,,,,2007,return,145.2,29.3%,50.3%,23.3%,42.3%
33,Fabrice Santoro,,,,,,,,2007,return,145.2,29.9%,49.0%,22.7%,43.6%
34,Nicolas Almagro,,,,,,,,2007,return,145.0,30.6%,49.7%,24.5%,40.2%
35,Robby Ginepri,,,,,,,,2007,return,144.9,29.7%,50.6%,22.8%,41.8%
36,Jose Acasuso,,,,,,,,2007,return,144.8,29.7%,51.1%,24.2%,39.8%
37,Fernando Gonzalez,,,,,,,,2007,return,144.8,28.6%,51.8%,22.5%,41.9%
38,Guillermo Garcia-Lopez,,,,,,,,2007,return,144.8,31.5%,48.2%,23.3%,41.8%
39,Agustin Calleri,,,,,,,,2007,return,144.4,31.4%,49.8%,23.2%,40.0%
40,Igor Andreev,,,,,,,,2007,return,144.2,30.5%,49.8%,23.2%,40.7%
41,Stefan Koubek,,,,,,,,2007,return,144.1,29.6%,49.1%,22.6%,42.8%
42,Carlos Moya,,,,,,,,2007,return,144.0,31.4%,49.0%,23.6%,40.0%
43,Vincent Spadea,,,,,,,,2007,return,143.9,29.2%,51.6%,23.6%,39.5%
44,Philipp Kohlschreiber,,,,,,,,2007,return,141.9,29.8%,50.9%,22.6%,38.6%
45,Radek Stepanek,,,,,,,,2007,return,141.5,29.0%,48.1%,22.4%,42.0%
46,Stan Wawrinka,,,,,,,,2007,return,141.1,29.8%,49.5%,22.9%,38.9%
47,Luis Horna,,,,,,,,2007,return,141.0,29.6%,48.0%,22.5%,40.9%
48,Olivier Rochus,,,,,,,,2007,return,140.8,26.3%,52.4%,20.9%,41.2%
49,Igor Kunitsyn,,,,,,,,2007,return,140.7,28.7%,50.2%,21.9%,39.9%
50,Julien Benneteau,,,,,,,,2007,return,140.0,29.8%,48.7%,23.0%,38.5%
1,Ivo Karlovic,302.5,65.3%,81.8%,49.2%,91.2%,18.0,3.0,2006,serve,,,,,
2,Andy Roddick,300.8,66.9%,78.7%,55.0%,90.4%,11.2,1.4,2006,serve,,,,,
3,Roger Federer,294.2,62.7%,76.7%,58.9%,90.2%,6.9,1.2,2006,serve,,,,,
4,Ivan Ljubicic,289.6,60.2%,79.1%,52.6%,88.3%,11.9,2.5,2006,serve,,,,,
5,Rafael Nadal,286.3,69.2%,71.6%,57.2%,86.4%,3.5,1.6,2006,serve,,,,,
6,Mario Ancic,284.4,63.1%,75.4%,53.2%,85.6%,9.1,2.0,2006,serve,,,,,
7,Wesley Moodie,283.3,69.3%,73.1%,50.4%,83.3%,10.4,3.2,2006,serve,,,,,
8,Radek Stepanek,282.1,63.5%,74.4%,54.0%,84.7%,8.7,3.2,2006,serve,,,,,
9,Tommy Haas,279.9,60.6%,75.9%,54.3%,85.2%,7.1,3.2,2006,serve,,,,,
10,Max Mirnyi,279.1,62.3%,75.8%,51.3%,83.7%,9.7,3.7,2006,serve,,,,,
11,Luis Horna,277.0,65.9%,70.7%,53.6%,84.0%,5.2,2.4,2006,serve,,,,,
12,Robin Soderling,276.5,63.0%,74.6%,51.8%,83.3%,6.7,2.9,2006,serve,,,,,
13,Kristof Vliegen,275.5,64.0%,72.7%,51.7%,82.1%,7.2,2.2,2006,serve,,,,,
14,Marat Safin,275.2,60.8%,73.1%,52.5%,82.3%,8.3,1.8,2006,serve,,,,,
15,Richard Gasquet,274.5,63.2%,73.4%,52.5%,82.9%,4.8,2.3,2006,serve,,,,,
16,Nikolay Davydenko,273.7,68.7%,69.7%,53.9%,80.3%,3.2,2.1,2006,serve,,,,,
17,Nicolas Almagro,273.4,61.1%,72.8%,52.1%,83.0%,6.7,2.3,2006,serve,,,,,
18,Fernando Gonzalez,272.5,63.1%,72.6%,51.6%,82.4%,6.2,3.4,2006,serve,,,,,
19,Kenneth Carlsen,271.6,61.4%,73.7%,50.3%,81.2%,7.1,2.1,2006,serve,,,,,
20,Novak Djokovic,271.0,62.8%,71.8%,52.6%,81.3%,5.5,3.0,2006,serve,,,,,
21,Juan Carlos Ferrero,271.0,68.4%,68.0%,53.9%,77.9%,4.2,1.4,2006,serve,,,,,
22,Mardy Fish,270.9,51.5%,77.5%,52.8%,82.7%,9.5,3.1,2006,serve,,,,,
23,Tommy Robredo,270.9,69.3%,68.0%,52.4%,79.8%,3.2,1.8,2006,serve,,,,,
24,Paradorn Srichaphan,270.7,55.6%,74.2%,55.4%,82.3%,7.0,3.8,2006,serve,,,,,
25,Tomas Berdych,270.0,58.1%,75.1%,50.7%,81.5%,7.4,2.8,2006,serve,,,,,
26,Nicolas Mahut,269.6,62.3%,71.9%,49.9%,81.0%,7.9,3.4,2006,serve,,,,,
27,Fernando Verdasco,269.0,72.8%,68.4%,49.6%,78.1%,3.9,3.8,2006,serve,,,,,
28,Carlos Moya,268.6,58.6%,73.5%,51.3%,81.5%,6.2,2.5,2006,serve,,,,,
29,Hyung-Taik Lee,268.4,67.0%,68.8%,53.1%,77.4%,3.7,1.6,2006,serve,,,,,
30,Agustin Calleri,268.3,57.0%,75.6%,50.6%,81.1%,7.0,3.0,2006,serve,,,,,
31,Feliciano Lopez,268.2,58.3%,75.4%,48.4%,79.9%,9.8,3.6,2006,serve,,,,,
32,Robby Ginepri,267.9,65.1%,69.1%,51.9%,77.7%,5.7,1.6,2006,serve,,,,,
33,Jose Acasuso,267.1,53.1%,74.5%,53.7%,81.1%,6.7,2.0,2006,serve,,,,,
34,Xavier Malisse,266.8,57.9%,73.4%,51.4%,79.5%,6.4,1.8,2006,serve,,,,,
35,Jarkko Nieminen,265.9,62.7%,69.6%,51.7%,79.9%,3.8,1.8,2006,serve,,,,,
36,Tim Henman,265.5,61.4%,70.9%,51.0%,79.8%,4.7,2.3,2006,serve,,,,,
37,James Blake,265.3,57.7%,72.2%,52.2%,79.7%,6.2,2.7,2006,serve,,,,,
38,Gilles Muller,265.3,61.1%,72.5%,47.7%,78.7%,9.1,3.8,2006,serve,,,,,
39,Daniele Bracciali,264.2,51.9%,74.7%,51.4%,81.0%,8.2,3.0,2006,serve,,,,,
40,Arnaud Clement,263.6,58.1%,71.0%,53.0%,78.3%,5.0,1.8,2006,serve,,,,,
41,Nicolas Massu,263.1,58.8%,70.2%,52.9%,79.1%,4.6,2.5,2006,serve,,,,,
42,Dmitry Tursunov,263.0,54.9%,74.0%,50.2%,78.9%,8.8,3.8,2006,serve,,,,,
43,David Nalbandian,262.2,61.2%,67.7%,54.5%,78.9%,3.1,3.2,2006,serve,,,,,
44,Stan Wawrinka,261.2,55.8%,72.1%,51.5%,79.7%,6.0,3.9,2006,serve,,,,,
45,Florian Mayer,260.8,61.7%,70.8%,48.9%,76.6%,4.5,1.7,2006,serve,,,,,
46,Philipp Kohlschreiber,259.9,56.3%,71.3%,52.3%,77.1%,5.3,2.4,2006,serve,,,,,
47,Paul-Henri Mathieu,259.9,58.0%,69.9%,52.8%,77.6%,4.2,2.6,2006,serve,,,,,
48,Olivier Rochus,259.8,63.4%,66.9%,53.4%,77.0%,1.8,2.7,2006,serve,,,,,
49,Julien Benneteau,259.7,67.6%,66.9%,48.1%,74.8%,5.4,3.1,2006,serve,,,,,
50,Marcos Baghdatis,259.7,53.1%,74.2%,50.0%,78.3%,7.4,3.3,2006,serve,,,,,
1,Nikolay Davydenko,,,,,,,,2006,return,173.4,35.2%,55.8%,35.4%,47.0%
2,Lleyton Hewitt,,,,,,,,2006,return,166.1,34.2%,54.7%,33.3%,43.9%
3,David Ferrer,,,,,,,,2006,return,165.6,32.9%,56.2%,32.6%,43.9%
4,Andy Murray,,,,,,,,2006,return,164.0,34.2%,55.1%,32.5%,42.2%
5,Roger Federer,,,,,,,,2006,return,162.9,34.8%,53.5%,31.6%,43.0%
6,David Nalbandian,,,,,,,,2006,return,161.6,33.3%,53.3%,31.0%,44.0%
7,Sebastien Grosjean,,,,,,,,2006,return,160.9,32.4%,52.6%,29.6%,46.3%
8,Tommy Robredo,,,,,,,,2006,return,160.1,32.0%,54.2%,28.4%,45.5%
9,Gaston Gaudio,,,,,,,,2006,return,158.4,32.9%,52.9%,30.7%,41.9%
10,Olivier Rochus,,,,,,,,2006,return,157.9,33.5%,54.1%,30.5%,39.8%
11,James Blake,,,,,,,,2006,return,157.8,33.0%,53.3%,29.9%,41.6%
12,Florian Mayer,,,,,,,,2006,return,157.8,32.6%,51.3%,27.8%,46.1%
13,Rafael Nadal,,,,,,,,2006,return,157.7,32.1%,54.1%,29.0%,42.5%
14,Jarkko Nieminen,,,,,,,,2006,return,156.6,31.2%,50.4%,26.9%,48.1%
15,Ruben Ramirez Hidalgo,,,,,,,,2006,return,156.6,31.7%,50.6%,27.3%,47.0%
16,Robin Vik,,,,,,,,2006,return,156.0,31.1%,52.2%,26.3%,46.4%
17,Filippo Volandri,,,,,,,,2006,return,155.3,33.5%,52.5%,30.2%,39.1%
18,Gael Monfils,,,,,,,,2006,return,154.2,33.5%,48.3%,26.9%,45.5%
19,Alberto Martin,,,,,,,,2006,return,153.9,31.9%,52.3%,27.5%,42.2%
20,Paul Goldstein,,,,,,,,2006,return,153.3,30.7%,52.2%,26.9%,43.5%
21,Jose Acasuso,,,,,,,,2006,return,153.1,29.9%,52.4%,26.0%,44.8%
22,Novak Djokovic,,,,,,,,2006,return,152.6,30.2%,50.6%,26.5%,45.3%
23,Jan Hernych,,,,,,,,2006,return,152.1,33.4%,49.7%,26.1%,42.9%
24,Mikhail Youzhny,,,,,,,,2006,return,152.0,32.2%,50.9%,25.9%,43.0%
25,Fabrice Santoro,,,,,,,,2006,return,151.4,31.5%,50.8%,25.5%,43.6%
26,Gilles Simon,,,,,,,,2006,return,150.9,31.2%,51.9%,26.0%,41.8%
27,Xavier Malisse,,,,,,,,2006,return,150.6,32.5%,50.1%,26.6%,41.4%
28,Marcos Baghdatis,,,,,,,,2006,return,150.2,31.1%,51.7%,25.1%,42.3%
29,Juan Ignacio Chela,,,,,,,,2006,return,149.7,31.4%,51.7%,25.0%,41.6%
30,Vincent Spadea,,,,,,,,2006,return,149.7,31.1%,52.7%,27.2%,38.7%
31,Tomas Berdych,,,,,,,,2006,return,149.4,29.7%,52.7%,24.8%,42.2%
32,Richard Gasquet,,,,,,,,2006,return,149.4,29.9%,51.9%,25.7%,41.9%
33,Tim Henman,,,,,,,,2006,return,149.2,31.1%,50.0%,25.3%,42.8%
34,Dominik Hrbaty,,,,,,,,2006,return,148.8,32.1%,51.4%,26.6%,38.7%
35,Florent Serra,,,,,,,,2006,return,148.5,30.2%,50.5%,24.4%,43.4%
36,Paul-Henri Mathieu,,,,,,,,2006,return,148.4,29.8%,51.7%,24.8%,42.1%
37,Juan Monaco,,,,,,,,2006,return,148.2,31.3%,51.7%,27.1%,38.1%
38,Arnaud Clement,,,,,,,,2006,return,148.1,28.5%,53.5%,24.2%,41.9%
39,Jonas Bjorkman,,,,,,,,2006,return,146.7,28.5%,53.5%,22.8%,41.9%
40,Agustin Calleri,,,,,,,,2006,return,145.9,30.4%,51.7%,24.7%,39.1%
41,Jurgen Melzer,,,,,,,,2006,return,145.9,32.1%,48.8%,24.9%,40.1%
42,Tommy Haas,,,,,,,,2006,return,145.2,30.0%,50.9%,24.1%,40.2%
43,Radek Stepanek,,,,,,,,2006,return,145.1,31.3%,46.9%,23.4%,43.5%
44,Fernando Verdasco,,,,,,,,2006,return,144.6,31.0%,50.5%,23.3%,39.8%
45,Hyung-Taik Lee,,,,,,,,2006,return,144.4,28.9%,50.2%,22.2%,43.1%
46,Nicolas Massu,,,,,,,,2006,return,143.9,30.8%,47.8%,22.5%,42.8%
47,Fernando Gonzalez,,,,,,,,2006,return,143.7,30.0%,50.4%,23.6%,39.7%
48,Juan Carlos Ferrero,,,,,,,,2006,return,143.3,30.9%,51.5%,24.6%,36.3%
49,Rainer Schuettler,,,,,,,,2006,return,142.9,28.7%,48.9%,22.0%,43.3%
50,Mario Ancic,,,,,,,,2006,return,142.8,30.7%,47.5%,23.2%,41.4%
1,Andy Roddick,306.9,65.8%,81.5%,55.8%,92.5%,13.2,1.9,2005,serve,,,,,
2,Ivo Karlovic,303.5,63.9%,83.0%,51.7%,90.6%,18.7,4.4,2005,serve,,,,,
3,Roger Federer,292.3,62.9%,76.3%,58.6%,89.2%,7.1,1.8,2005,serve,,,,,
4,Wayne Arthurs,292.1,55.5%,81.8%,55.3%,89.4%,15.2,5.1,2005,serve,,,,,
5,Ivan Ljubicic,290.7,61.8%,76.0%,54.8%,87.8%,12.5,2.2,2005,serve,,,,,
6,Joachim Johansson,287.9,60.8%,77.0%,54.1%,87.1%,13.5,4.6,2005,serve,,,,,
7,Max Mirnyi,287.3,63.7%,78.8%,50.4%,85.8%,12.1,3.5,2005,serve,,,,,
8,Mario Ancic,286.0,61.4%,79.0%,50.7%,86.4%,11.3,2.8,2005,serve,,,,,
9,Rafael Nadal,282.5,69.2%,70.5%,57.3%,84.5%,2.5,1.5,2005,serve,,,,,
10,Thomas Johansson,280.1,56.5%,76.5%,55.0%,85.3%,8.7,1.9,2005,serve,,,,,
11,Fernando Gonzalez,278.0,58.9%,76.7%,53.8%,85.8%,7.1,4.3,2005,serve,,,,,
12,Lleyton Hewitt,278.0,55.9%,78.2%,53.1%,85.4%,9.2,3.8,2005,serve,,,,,
13,Greg Rusedski,277.6,57.3%,77.5%,53.0%,86.0%,9.6,5.8,2005,serve,,,,,
14,Andre Agassi,277.1,59.6%,74.8%,54.3%,84.8%,6.2,2.6,2005,serve,,,,,
15,Richard Gasquet,277.0,63.9%,72.8%,54.7%,83.5%,4.6,2.5,2005,serve,,,,,
16,Radek Stepanek,276.6,64.1%,73.8%,51.2%,83.0%,7.5,3.0,2005,serve,,,,,
17,Robby Ginepri,276.4,62.8%,71.4%,54.7%,82.7%,6.6,1.8,2005,serve,,,,,
18,Marat Safin,276.0,58.5%,75.2%,52.5%,82.9%,8.8,1.9,2005,serve,,,,,
19,Victor Hanescu,275.7,68.9%,69.0%,53.1%,80.6%,5.5,1.4,2005,serve,,,,,
20,Feliciano Lopez,275.0,59.4%,76.0%,51.1%,83.2%,8.6,3.3,2005,serve,,,,,
21,Mariano Puerta,273.7,66.9%,70.0%,54.0%,80.0%,4.6,1.8,2005,serve,,,,,
22,James Blake,271.7,58.5%,73.8%,52.6%,82.6%,6.6,2.4,2005,serve,,,,,
23,Fernando Verdasco,271.3,64.9%,71.7%,51.1%,80.7%,6.6,3.7,2005,serve,,,,,
24,Xavier Malisse,271.2,58.2%,73.5%,52.0%,81.3%,8.2,2.0,2005,serve,,,,,
25,Juan Carlos Ferrero,270.4,66.6%,68.2%,54.5%,79.7%,3.1,1.7,2005,serve,,,,,
26,Gilles Muller,270.3,60.6%,73.4%,50.0%,80.7%,9.2,3.6,2005,serve,,,,,
27,Luis Horna,268.7,64.9%,71.6%,48.5%,79.4%,7.4,3.1,2005,serve,,,,,
28,Tomas Berdych,268.2,57.4%,74.8%,50.1%,81.0%,7.5,2.6,2005,serve,,,,,
29,Tim Henman,267.9,61.6%,73.0%,51.3%,80.9%,4.4,3.3,2005,serve,,,,,
30,Jose Acasuso,267.6,54.5%,75.1%,51.7%,81.3%,7.6,2.6,2005,serve,,,,,
31,Nikolay Davydenko,266.7,67.2%,67.4%,53.1%,78.0%,3.3,2.3,2005,serve,,,,,
32,Sebastien Grosjean,266.2,55.7%,72.7%,52.8%,80.4%,6.4,1.8,2005,serve,,,,,
33,Robin Soderling,265.7,60.2%,73.4%,48.0%,78.8%,9.2,3.9,2005,serve,,,,,
34,Tommy Haas,265.6,57.2%,73.7%,52.2%,79.5%,6.5,3.5,2005,serve,,,,,
35,Taylor Dent,265.5,54.8%,77.9%,49.5%,81.8%,8.1,6.6,2005,serve,,,,,
36,Michael Llodra,265.4,64.3%,69.9%,51.0%,77.1%,5.4,2.3,2005,serve,,,,,
37,Carlos Moya,265.2,60.2%,72.2%,50.3%,80.0%,5.1,2.6,2005,serve,,,,,
38,Kenneth Carlsen,263.2,61.0%,72.9%,47.2%,78.7%,6.1,2.7,2005,serve,,,,,
39,Igor Andreev,263.0,61.9%,69.1%,52.0%,77.9%,4.2,2.1,2005,serve,,,,,
40,Cyril Saulnier,262.8,58.8%,71.9%,50.3%,77.4%,6.8,2.4,2005,serve,,,,,
41,Andrei Pavel,262.4,64.6%,69.9%,46.4%,75.9%,7.4,1.8,2005,serve,,,,,
42,Olivier Rochus,262.0,61.3%,69.1%,53.4%,78.9%,2.0,2.7,2005,serve,,,,,
43,Nicolas Almagro,261.5,61.9%,69.3%,49.1%,78.0%,6.1,2.9,2005,serve,,,,,
44,Paradorn Srichaphan,261.2,58.8%,71.6%,49.8%,77.9%,6.1,3.0,2005,serve,,,,,
45,Guillermo Canas,260.8,58.9%,70.0%,52.4%,78.7%,3.3,2.5,2005,serve,,,,,
46,Dmitry Tursunov,260.1,54.7%,76.5%,46.9%,78.7%,9.0,5.7,2005,serve,,,,,
47,Nicolas Kiefer,260.0,53.4%,74.2%,50.1%,78.5%,7.5,3.7,2005,serve,,,,,
48,Davide Sanguinetti,259.5,57.6%,71.0%,50.1%,77.0%,5.4,1.6,2005,serve,,,,,
49,Potito Starace,259.5,73.3%,63.8%,49.3%,72.4%,2.5,1.8,2005,serve,,,,,
50,Dominik Hrbaty,259.4,58.9%,70.6%,50.7%,77.7%,5.1,3.6,2005,serve,,,,,
1,Rafael Nadal,,,,,,,,2005,return,176.8,36.9%,56.6%,37.5%,45.8%
2,Guillermo Coria,,,,,,,,2005,return,174.8,36.3%,56.4%,36.5%,45.6%
3,David Nalbandian,,,,,,,,2005,return,170.8,33.9%,56.5%,34.5%,45.9%
4,David Ferrer,,,,,,,,2005,return,168.0,35.5%,53.8%,33.5%,45.2%
5,Nikolay Davydenko,,,,,,,,2005,return,167.6,35.4%,53.7%,33.6%,44.9%
6,Gaston Gaudio,,,,,,,,2005,return,167.1,35.0%,55.3%,34.6%,42.2%
7,Guillermo Canas,,,,,,,,2005,return,166.8,37.2%,51.9%,32.7%,45.0%
8,Filippo Volandri,,,,,,,,2005,return,163.4,34.7%,52.3%,33.6%,42.8%
9,Roger Federer,,,,,,,,2005,return,161.9,34.7%,52.3%,30.7%,44.2%
10,Nicolas Kiefer,,,,,,,,2005,return,160.7,32.5%,52.8%,28.4%,47.0%
11,Richard Gasquet,,,,,,,,2005,return,159.4,31.8%,52.3%,28.7%,46.6%
12,Mikhail Youzhny,,,,,,,,2005,return,159.0,31.2%,52.9%,29.2%,45.7%
13,Christophe Rochus,,,,,,,,2005,return,157.4,30.9%,51.8%,28.3%,46.4%
14,Dominik Hrbaty,,,,,,,,2005,return,155.2,31.7%,53.7%,28.5%,41.3%
15,Jarkko Nieminen,,,,,,,,2005,return,153.9,31.6%,52.9%,26.5%,42.9%
16,Andre Agassi,,,,,,,,2005,return,153.4,31.4%,52.0%,27.4%,42.6%
17,Lleyton Hewitt,,,,,,,,2005,return,152.5,31.8%,51.5%,27.9%,41.3%
18,Dmitry Tursunov,,,,,,,,2005,return,151.8,29.7%,50.6%,25.4%,46.1%
19,Gael Monfils,,,,,,,,2005,return,151.3,32.8%,49.6%,25.4%,43.5%
20,Guillermo Garcia-Lopez,,,,,,,,2005,return,150.9,31.6%,50.7%,26.1%,42.5%
21,Juan Ignacio Chela,,,,,,,,2005,return,150.6,30.9%,51.8%,27.2%,40.7%
22,Igor Andreev,,,,,,,,2005,return,150.5,31.9%,50.2%,26.0%,42.4%
23,James Blake,,,,,,,,2005,return,150.4,31.3%,51.5%,26.7%,40.9%
24,Vincent Spadea,,,,,,,,2005,return,150.0,29.0%,52.6%,25.2%,43.2%
25,Tommy Robredo,,,,,,,,2005,return,149.9,32.6%,52.0%,28.3%,37.0%
26,Sebastien Grosjean,,,,,,,,2005,return,149.7,31.1%,50.2%,24.4%,44.0%
27,Tommy Haas,,,,,,,,2005,return,149.1,30.0%,51.2%,25.2%,42.7%
28,Jiri Novak,,,,,,,,2005,return,149.1,30.7%,52.2%,26.7%,39.5%
29,Mariano Zabaleta,,,,,,,,2005,return,149.0,31.9%,50.5%,26.7%,39.9%
30,Fernando Verdasco,,,,,,,,2005,return,148.7,31.2%,49.9%,24.3%,43.3%
31,Jonas Bjorkman,,,,,,,,2005,return,148.4,31.4%,53.4%,25.2%,38.4%
32,Juan Carlos Ferrero,,,,,,,,2005,return,148.4,29.8%,53.8%,25.3%,39.5%
33,Paul-Henri Mathieu,,,,,,,,2005,return,148.4,28.7%,50.9%,23.5%,45.3%
34,Alberto Martin,,,,,,,,2005,return,147.7,31.8%,52.5%,25.0%,38.4%
35,Marat Safin,,,,,,,,2005,return,147.1,31.3%,50.8%,25.4%,39.6%
36,Agustin Calleri,,,,,,,,2005,return,146.5,31.4%,49.8%,22.7%,42.6%
37,Jan Hernych,,,,,,,,2005,return,146.5,29.8%,50.7%,24.7%,41.3%
38,Potito Starace,,,,,,,,2005,return,146.3,30.2%,49.7%,23.2%,43.2%
39,Juan Monaco,,,,,,,,2005,return,145.7,30.1%,49.4%,23.8%,42.4%
40,Robby Ginepri,,,,,,,,2005,return,145.6,28.4%,51.6%,25.0%,40.6%
41,Rainer Schuettler,,,,,,,,2005,return,145.4,31.6%,47.9%,23.8%,42.1%
42,Olivier Rochus,,,,,,,,2005,return,144.8,27.5%,54.1%,24.1%,39.1%
43,Fabrice Santoro,,,,,,,,2005,return,144.7,31.4%,53.2%,25.8%,34.3%
44,Mario Ancic,,,,,,,,2005,return,144.0,30.1%,48.5%,22.9%,42.5%
45,Jurgen Melzer,,,,,,,,2005,return,143.9,30.1%,47.5%,23.7%,42.6%
46,Taylor Dent,,,,,,,,2005,return,143.7,30.2%,49.8%,23.9%,39.8%
47,Tim Henman,,,,,,,,2005,return,143.4,31.7%,48.1%,23.6%,40.0%
48,Xavier Malisse,,,,,,,,2005,return,142.3,29.0%,47.9%,22.3%,43.1%
49,Tomas Zib,,,,,,,,2005,return,142.2,25.3%,52.3%,20.4%,44.2%
