Player,Standing,Year,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted
David Goffin,5,2016,160.8,31.9,54.5,31.0,43.4
Gael Monfils,6,2016,159.7,31.6,51.8,30.5,45.8
Fabio Fognini,7,2016,159.1,30.0,52.6,31.1,45.4
Kei Nishikori,8,2016,158.1,30.6,54.3,30.2,43.0
Richard Gasquet,9,2016,157.3,32.1,52.4,29.2,43.6
Gilles Simon,10,2016,156.2,31.6,52.2,28.7,43.7
David Ferrer,11,2016,155.4,31.6,53.4,29.1,41.3
Pablo Carreno Busta,12,2016,155.2,30.2,52.4,27.0,45.6
Damir Dzumhur,13,2016,154.7,31.7,50.3,28.0,44.7
Juan Monaco,14,2016,154.2,31.8,53.2,29.7,39.5
Roberto Bautista Agut,15,2016,152.6,30.6,52.6,28.0,41.4
Daniil Medvedev,16,2016,152.1,34.7,51.1,31.1,35.2
Paolo Lorenzi,17,2016,149.1,30.4,49.9,25.4,43.4
John Millman,18,2016,147.9,29.1,48.9,24.7,45.2
Alexander Zverev,19,2016,147.3,30.1,50.0,24.7,42.5
Lorenzo Sonego,20,2016,146.7,27.0,62.9,23.5,33.3
Juan Martin del Potro,21,2016,146.6,28.9,50.6,28.9,38.2
Stephane Robert,22,2016,146.4,31.3,50.6,24.4,40.1
Albert Ramos-Vinolas,23,2016,146.3,30.5,50.0,24.7,41.1
Federico Delbonis,24,2016,145.2,28.5,51.7,23.1,41.9
Tommy Paul,25,2016,144.4,23.6,53.4,22.2,45.2
Benoit Paire,26,2016,144.1,31.1,48.2,24.8,40.0
Adrian Mannarino,27,2016,143.8,29.1,50.0,24.0,40.7
Thomaz Bellucci,28,2016,143.7,30.3,49.3,24.5,39.6
Dominic Thiem,29,2016,143.7,30.7,49.6,23.8,39.6
Marcos Baghdatis,30,2016,143.0,28.5,50.4,22.5,41.6
Karen Khachanov,31,2016,143.0,29.6,48.5,22.2,42.7
Jeremy Chardy,32,2016,142.9,30.1,49.9,23.6,39.3
Andrey Kuznetsov,33,2016,142.9,29.0,50.6,23.4,39.9
Mikhail Youzhny,34,2016,142.4,27.9,52.8,24.0,37.7
Stan Wawrinka,35,2016,142.2,29.4,50.5,23.4,38.9
Marcel Granollers,36,2016,141.8,30.7,48.2,22.3,40.6
Nicolas Mahut,37,2016,141.5,27.1,48.1,20.2,46.1
Philipp Kohlschreiber,38,2016,141.3,30.2,50.0,23.9,37.2
Fernando Verdasco,39,2016,141.1,31.2,48.9,23.2,37.8
Teymuraz Gabashvili,40,2016,140.5,28.9,48.3,23.6,39.7
Tomas Berdych,41,2016,139.8,28.6,50.1,21.9,39.2
Joao Sousa,42,2016,139.8,29.0,49.9,22.9,38.0
Mikhail Kukushkin,43,2016,139.6,27.6,51.6,21.8,38.6
Paul-Henri Mathieu,44,2016,139.5,26.8,50.5,21.0,41.2
Kyle Edmund,45,2016,139.2,26.9,50.1,22.7,39.5
Marin Cilic,46,2016,138.8,28.5,49.5,23.0,37.8
Illya Marchenko,47,2016,138.7,28.2,46.1,20.9,43.5
Grigor Dimitrov,48,2016,137.8,31.1,48.2,21.7,36.8
Viktor Troicki,49,2016,137.6,29.2,49.1,21.1,38.2
Donald Young,50,2016,136.9,28.5,49.6,21.5,37.3
Novak Djokovic,1,2015,169.2,33.6,57.0,34.4,44.2
David Ferrer,2,2015,167.5,34.5,55.2,33.6,44.2
Gilles Simon,3,2015,164.4,31.2,55.4,30.5,47.3
Andy Murray,4,2015,163.9,32.7,55.5,31.1,44.6
Rafael Nadal,5,2015,159.9,33.0,53.4,31.0,42.5
Juan Monaco,6,2015,156.1,32.0,52.4,29.8,41.9
Tomas Berdych,7,2015,155.8,29.8,54.4,25.7,45.9
Diego Schwartzman,8,2015,153.4,30.8,51.6,27.2,43.8
Benoit Paire,9,2015,152.8,32.6,49.6,25.3,45.3
Guillermo Garcia-Lopez,10,2015,152.7,30.4,52.3,26.3,43.7
Fabio Fognini,11,2015,151.7,31.7,50.8,27.4,41.8
Roger Federer,12,2015,151.5,33.0,50.3,27.3,40.9
David Goffin,13,2015,150.8,31.8,52.6,27.6,38.8
Kei Nishikori,14,2015,150.2,30.2,53.6,26.6,39.8
Pablo Andujar,15,2015,149.4,30.3,52.6,24.9,41.6
Philipp Kohlschreiber,16,2015,148.6,30.2,50.7,25.0,42.7
Andreas Seppi,17,2015,146.6,28.0,53.0,23.6,42.0
Roberto Bautista Agut,18,2015,146.5,28.8,50.8,23.2,43.7
Marcos Baghdatis,19,2015,145.3,28.2,52.0,23.3,41.8
Taylor Fritz,20,2015,144.4,25.7,55.2,23.5,40.0
Alexandr Dolgopolov,21,2015,143.9,29.6,50.6,22.3,41.4
Gael Monfils,22,2015,143.4,30.6,49.8,22.3,40.7
Richard Gasquet,23,2015,142.5,28.8,50.4,22.5,40.8
Pablo Cuevas,24,2015,142.1,29.7,47.2,21.9,43.3
Tommy Robredo,25,2015,142.0,29.6,47.3,23.0,42.1
Jack Sock,26,2015,141.6,27.9,46.8,22.4,44.5
Federico Delbonis,27,2015,141.3,29.3,49.9,21.7,40.4
Adrian Mannarino,28,2015,141.3,28.8,50.1,23.1,39.3
Mikhail Kukushkin,29,2015,141.1,25.7,50.9,21.0,43.5
Donald Young,30,2015,140.8,28.2,50.9,23.3,38.4
Thomaz Bellucci,31,2015,139.7,29.5,50.9,21.4,37.9
Joao Sousa,32,2015,139.0,29.3,49.3,21.8,38.6
Pablo Carreno Busta,33,2015,138.2,28.6,49.9,21.0,38.7
Yen-Hsun Lu,34,2015,138.0,27.8,49.9,20.9,39.4
Viktor Troicki,35,2015,137.7,28.8,48.7,21.0,39.2
Aljaz Bedene,36,2015,137.2,26.1,50.0,19.9,41.2
Stan Wawrinka,37,2015,137.2,28.3,49.1,21.4,38.4
Tommy Paul,38,2015,136.8,26.2,46.3,21.4,42.9
Dusan Lajovic,39,2015,136.5,27.7,49.4,22.0,37.4
Jiri Vesely,40,2015,136.5,28.1,47.1,19.6,41.7
Grigor Dimitrov,41,2015,136.4,29.1,49.5,21.0,36.8
Santiago Giraldo,42,2015,136.0,28.2,49.2,21.6,37.0
Jeremy Chardy,43,2015,135.7,26.7,49.5,19.1,40.4
Marcel Granollers,44,2015,135.7,27.7,48.2,20.7,39.1
Denis Istomin,45,2015,135.7,27.6,49.6,19.6,38.9
Jo-Wilfried Tsonga,46,2015,135.2,29.3,48.0,20.4,37.5
Alexander Zverev,47,2015,135.0,24.4,48.5,18.4,43.7
Marin Cilic,48,2015,134.0,28.2,49.8,18.4,37.6
Bernard Tomic,49,2015,133.4,25.1,48.2,20.1,40.0
Daniel Gimeno-Traver,50,2015,133.2,28.5,48.6,20.3,35.8
Rafael Nadal,1,2014,174.7,35.0,56.3,35.0,48.4
Novak Djokovic,2,2014,169.1,32.8,57.6,33.3,45.4
David Ferrer,3,2014,165.6,34.1,55.7,32.8,43.0
Andy Murray,4,2014,164.1,33.4,55.0,31.9,43.8
Pablo Andujar,5,2014,155.5,31.8,53.0,29.0,41.7
Juan Monaco,6,2014,155.4,31.5,52.5,28.8,42.6
Lleyton Hewitt,7,2014,154.0,29.9,53.9,26.7,43.5
Gilles Simon,8,2014,154.0,30.5,52.5,25.8,45.2
Kei Nishikori,9,2014,152.9,30.0,53.4,27.6,41.9
Carlos Berlocq,10,2014,152.8,31.7,52.2,27.2,41.7
Roberto Bautista Agut,11,2014,152.8,31.1,52.5,26.2,43.0
Fabio Fognini,12,2014,152.5,31.6,51.0,27.3,42.6
Gael Monfils,13,2014,150.5,33.5,50.1,27.1,39.8
Albert Ramos-Vinolas,14,2014,150.4,31.0,49.5,24.5,45.4
Adrian Mannarino,15,2014,150.2,28.8,51.4,25.2,44.8
David Goffin,16,2014,149.4,29.1,52.9,26.6,40.8
Guillermo Garcia-Lopez,17,2014,148.7,32.3,50.3,25.9,40.2
Roger Federer,18,2014,148.5,32.1,50.9,26.1,39.4
Tomas Berdych,19,2014,148.1,29.7,53.7,25.3,39.4
Martin Klizan,20,2014,147.3,29.4,52.0,24.3,41.6
Dudi Sela,21,2014,147.1,29.5,51.5,24.2,41.9
Teymuraz Gabashvili,22,2014,145.8,29.2,51.6,23.8,41.2
Philipp Kohlschreiber,23,2014,145.7,29.5,50.0,23.2,43.0
Mikhail Youzhny,24,2014,144.3,30.2,50.0,24.2,39.9
Grigor Dimitrov,25,2014,144.1,29.4,50.2,22.2,42.3
Santiago Giraldo,26,2014,144.0,29.6,49.1,23.0,42.3
Radek Stepanek,27,2014,143.8,29.8,51.1,23.1,39.8
Stan Wawrinka,28,2014,143.6,29.0,50.2,22.4,42.0
Dmitry Tursunov,29,2014,142.1,26.5,49.2,20.3,46.1
Pablo Carreno Busta,30,2014,141.4,28.5,50.0,22.0,40.9
Marcel Granollers,31,2014,141.3,29.4,49.0,22.5,40.4
Alexandr Dolgopolov,32,2014,141.2,29.8,50.9,22.6,37.9
Donald Young,33,2014,140.8,29.6,50.4,22.0,38.8
Ernests Gulbis,34,2014,140.3,28.7,49.9,21.3,40.4
Marin Cilic,35,2014,139.8,30.0,50.0,22.2,37.6
Fernando Verdasco,36,2014,139.5,30.1,48.8,21.8,38.8
Yen-Hsun Lu,37,2014,138.8,25.8,51.1,20.7,41.2
Jurgen Melzer,38,2014,138.4,28.8,50.0,21.9,37.7
Dominic Thiem,39,2014,138.3,29.3,49.9,22.2,36.9
Daniel Gimeno-Traver,40,2014,137.5,29.6,47.2,21.6,39.1
Andreas Seppi,41,2014,137.5,30.6,48.9,21.5,36.5
Richard Gasquet,42,2014,136.8,28.1,49.6,20.8,38.3
Igor Sijsling,43,2014,136.8,27.1,50.0,20.0,39.7
Mikhail Kukushkin,44,2014,136.6,26.8,51.2,21.9,36.7
Andrey Golubev,45,2014,136.4,27.7,45.3,19.2,44.2
Jarkko Nieminen,46,2014,136.1,25.9,51.7,20.4,38.1
Marinko Matosevic,47,2014,136.0,27.9,50.4,19.9,37.8
Tommy Robredo,48,2014,135.6,28.8,49.0,20.5,37.3
Alexander Zverev,49,2014,135.5,30.6,48.0,24.0,32.9
Julien Benneteau,50,2014,135.3,28.1,48.9,21.2,37.1
Rafael Nadal,1,2013,169.6,34.8,54.2,33.8,46.8
Novak Djokovic,2,2013,165.9,35.4,55.2,33.2,42.1
David Ferrer,3,2013,165.5,34.1,56.2,33.0,42.2
Andy Murray,4,2013,163.4,33.7,54.7,31.0,44.0
Juan Monaco,5,2013,161.2,32.2,54.9,30.8,43.3
Fabio Fognini,6,2013,160.6,33.3,53.7,30.7,42.9
Nikolay Davydenko,7,2013,160.0,32.3,52.0,27.8,47.9
Kei Nishikori,8,2013,159.2,31.3,54.8,30.0,43.1
Gilles Simon,9,2013,152.5,32.1,52.2,27.4,40.8
Lleyton Hewitt,10,2013,152.0,29.4,52.2,26.0,44.4
Tobias Kamke,11,2013,151.5,30.1,52.3,26.1,43.0
Tomas Berdych,12,2013,150.5,30.3,53.9,25.1,41.2
Ernests Gulbis,13,2013,150.5,31.3,50.2,25.2,43.8
Tommy Robredo,14,2013,150.2,32.6,49.9,26.7,41.0
Roberto Bautista Agut,15,2013,149.9,30.5,52.6,25.2,41.6
Nicolas Almagro,16,2013,149.5,29.0,51.7,24.7,44.1
Roger Federer,17,2013,149.4,33.0,51.1,25.9,39.4
Alejandro Falla,18,2013,149.4,29.3,50.9,24.4,44.8
Carlos Berlocq,19,2013,148.6,29.7,53.0,25.1,40.8
Richard Gasquet,20,2013,148.5,30.3,53.9,25.5,38.8
Marin Cilic,21,2013,147.8,29.8,51.8,23.8,42.4
Mikhail Youzhny,22,2013,147.3,29.6,51.2,24.8,41.7
Guillermo Garcia-Lopez,23,2013,147.2,29.4,53.0,24.5,40.3
Radek Stepanek,24,2013,147.2,30.0,52.1,25.6,39.5
Marcel Granollers,25,2013,147.0,28.7,52.3,23.6,42.4
Yen-Hsun Lu,26,2013,146.8,30.3,52.4,24.9,39.2
Jarkko Nieminen,27,2013,146.5,27.1,52.9,24.1,42.4
Benoit Paire,28,2013,146.5,32.1,49.4,24.3,40.7
David Goffin,29,2013,146.0,31.6,48.3,23.0,43.1
Juan Martin del Potro,30,2013,145.9,28.3,53.0,23.5,41.1
Gael Monfils,31,2013,145.6,32.4,48.0,25.3,39.9
Marinko Matosevic,32,2013,145.5,29.1,51.7,24.8,39.9
Ivan Dodig,33,2013,145.4,28.8,49.2,23.1,44.3
Julien Benneteau,34,2013,143.7,30.0,50.3,23.8,39.6
Alexander Zverev,35,2013,142.8,40.5,35.7,33.3,33.3
Viktor Troicki,36,2013,142.4,32.5,47.3,23.7,38.9
Andreas Seppi,37,2013,142.3,28.7,51.1,23.3,39.2
Stan Wawrinka,38,2013,142.2,30.6,50.0,23.3,38.3
Florian Mayer,39,2013,141.5,30.3,47.5,22.8,40.9
Albert Ramos-Vinolas,40,2013,141.5,29.9,49.0,22.7,39.9
Dmitry Tursunov,41,2013,141.4,27.8,50.2,21.7,41.7
Tommy Haas,42,2013,141.2,30.6,48.7,23.7,38.2
Jo-Wilfried Tsonga,43,2013,139.5,29.8,46.9,20.8,42.0
Robin Haase,44,2013,139.3,28.3,48.9,20.4,41.7
Fernando Verdasco,45,2013,139.2,29.9,50.5,21.4,37.4
Karen Khachanov,46,2013,138.5,25.3,50.8,18.9,43.5
Pablo Andujar,47,2013,138.2,28.9,51.2,22.2,35.9
Grigor Dimitrov,48,2013,137.4,29.5,48.1,21.6,38.2
Xavier Malisse,49,2013,137.4,27.0,51.6,19.9,38.9
Alexandr Dolgopolov,50,2013,136.4,28.3,49.4,21.2,37.5
Rafael Nadal,1,2012,179.6,37.8,54.9,37.7,49.2
Novak Djokovic,2,2012,172.2,35.4,55.7,34.6,46.5
David Ferrer,3,2012,163.7,33.9,54.4,31.3,44.1
Juan Monaco,4,2012,160.5,34.0,52.5,31.3,42.7
Andy Murray,5,2012,160.1,32.1,56.1,30.7,41.2
Flavio Cipolla,6,2012,158.6,33.6,51.3,28.9,44.8
Kei Nishikori,7,2012,157.1,33.2,53.5,31.0,39.4
Martin Klizan,8,2012,155.9,29.4,53.7,27.9,44.9
Gael Monfils,9,2012,155.4,31.8,53.1,28.9,41.6
Nikolay Davydenko,10,2012,155.2,30.7,53.2,26.8,44.5
Gilles Simon,11,2012,154.9,34.1,51.2,28.9,40.7
Marin Cilic,12,2012,153.3,32.4,52.3,26.8,41.8
Carlos Berlocq,13,2012,153.2,33.6,50.4,28.9,40.3
Fabio Fognini,14,2012,152.6,31.6,49.7,25.8,45.5
Mikhail Youzhny,15,2012,151.3,30.8,53.5,25.9,41.1
Mardy Fish,16,2012,150.8,31.4,50.6,24.5,44.3
Richard Gasquet,17,2012,150.7,31.7,50.2,27.1,41.7
Andreas Seppi,18,2012,150.7,30.5,50.7,25.1,44.4
Roger Federer,19,2012,150.0,31.0,51.2,25.9,41.9
Filippo Volandri,20,2012,149.9,31.4,49.5,26.0,43.0
Tomas Berdych,21,2012,149.6,29.3,52.5,25.4,42.4
Juan Martin del Potro,22,2012,149.6,30.0,51.4,25.0,43.2
Stan Wawrinka,23,2012,149.6,31.2,49.9,25.1,43.4
Pablo Andujar,24,2012,149.4,30.6,52.4,26.1,40.3
Viktor Troicki,25,2012,147.4,30.8,50.5,24.7,41.4
Albert Ramos-Vinolas,26,2012,146.7,30.2,50.6,24.0,41.9
Benoit Paire,27,2012,146.0,32.6,50.6,26.0,36.8
Julien Benneteau,28,2012,145.9,29.6,50.6,23.7,42.0
Jarkko Nieminen,29,2012,145.4,29.7,49.3,23.5,42.9
David Nalbandian,30,2012,145.3,30.1,52.0,24.4,38.8
Guillermo Garcia-Lopez,31,2012,144.2,31.0,47.1,23.0,43.1
Philipp Kohlschreiber,32,2012,144.0,28.1,50.2,21.8,43.9
Fernando Verdasco,33,2012,144.0,30.9,49.1,24.0,40.0
Tommy Haas,34,2012,143.3,30.1,51.0,24.5,37.7
Janko Tipsarevic,35,2012,143.2,29.3,50.4,23.3,40.2
Jo-Wilfried Tsonga,36,2012,142.8,30.7,47.7,22.7,41.7
Marcos Baghdatis,37,2012,142.7,29.4,49.7,22.9,40.7
Radek Stepanek,38,2012,142.6,31.3,47.9,22.3,41.1
Steve Darcis,39,2012,142.2,28.0,51.7,21.1,41.4
Alexandr Dolgopolov,40,2012,141.9,30.4,48.4,23.2,39.9
Lukasz Kubot,41,2012,141.6,29.5,49.1,23.1,39.9
Nicolas Almagro,42,2012,141.0,28.5,51.3,22.4,38.8
Robin Haase,43,2012,140.8,29.3,49.9,22.5,39.1
Alejandro Falla,44,2012,140.7,28.4,49.4,21.7,41.2
Marinko Matosevic,45,2012,140.6,27.9,49.6,20.2,42.9
Jurgen Melzer,46,2012,139.7,27.8,47.0,19.4,45.5
Thomaz Bellucci,47,2012,139.3,29.1,49.8,22.6,37.8
Go Soeda,48,2012,137.9,30.4,48.0,22.6,36.9
Florian Mayer,49,2012,137.5,28.1,48.5,21.3,39.6
Alex Bogomolov Jr.,50,2012,137.4,28.8,49.7,21.7,37.2
Novak Djokovic,1,2011,180.3,35.7,57.5,38.8,48.3
Andy Murray,2,2011,175.0,37.1,56.0,36.1,45.8
Rafael Nadal,3,2011,171.9,34.2,56.7,34.5,46.5
David Ferrer,4,2011,166.8,32.6,55.7,32.7,45.8
Juan Ignacio Chela,5,2011,165.8,34.5,53.9,31.6,45.8
Filippo Volandri,6,2011,161.7,32.6,53.4,31.1,44.6
Fabio Fognini,7,2011,158.1,32.9,50.2,29.0,46.0
Nikolay Davydenko,8,2011,157.7,33.6,52.5,28.7,42.9
Gilles Simon,9,2011,157.7,32.0,53.6,28.3,43.8
Florian Mayer,10,2011,157.5,31.0,53.2,27.7,45.6
Tomas Berdych,11,2011,156.9,31.2,53.0,28.0,44.7
Robin Soderling,12,2011,156.6,31.4,52.1,27.5,45.6
Juan Monaco,13,2011,156.5,34.1,51.1,29.2,42.1
Janko Tipsarevic,14,2011,156.2,30.6,54.5,28.1,43.0
Pablo Andujar,15,2011,154.7,31.9,50.5,27.7,44.6
Xavier Malisse,16,2011,154.6,30.8,49.9,25.4,48.5
Roger Federer,17,2011,153.9,33.0,51.3,28.1,41.5
Viktor Troicki,18,2011,153.8,34.2,49.5,27.8,42.3
Juan Martin del Potro,19,2011,152.6,30.3,51.5,25.8,45.0
Robin Haase,20,2011,152.3,30.8,51.6,26.2,43.7
Ryan Sweeting,21,2011,151.2,28.2,51.7,24.3,47.0
Lukasz Kubot,22,2011,151.0,30.9,48.3,24.2,47.6
Tommy Robredo,23,2011,150.4,30.1,53.3,26.7,40.3
Richard Gasquet,24,2011,150.3,32.2,50.1,26.0,42.0
Donald Young,25,2011,149.9,32.4,49.2,24.9,43.4
Juan Carlos Ferrero,26,2011,149.6,32.1,50.1,26.0,41.4
Santiago Giraldo,27,2011,148.8,29.8,49.8,24.4,44.8
Marcel Granollers,28,2011,148.6,31.8,49.2,25.4,42.2
Gael Monfils,29,2011,148.3,33.2,49.4,25.0,40.7
Fernando Verdasco,30,2011,147.6,29.6,52.3,23.5,42.2
Jurgen Melzer,31,2011,147.5,32.3,49.0,25.9,40.3
Alexandr Dolgopolov,32,2011,147.4,30.1,49.8,24.4,43.1
Tobias Kamke,33,2011,147.4,30.8,50.8,25.5,40.3
Marin Cilic,34,2011,147.3,30.6,50.2,23.8,42.7
Albert Montanes,35,2011,147.3,31.7,50.3,25.6,39.7
Mardy Fish,36,2011,147.0,32.3,50.0,25.1,39.6
David Nalbandian,37,2011,145.8,29.9,54.2,25.1,36.6
Carlos Berlocq,38,2011,145.7,31.6,50.4,27.3,36.4
Somdev Devvarman,39,2011,145.3,29.9,49.9,25.1,40.4
Radek Stepanek,40,2011,145.3,29.8,51.8,24.5,39.2
Stan Wawrinka,41,2011,144.8,31.9,49.8,24.8,38.3
Guillermo Garcia-Lopez,42,2011,144.7,28.9,51.9,23.3,40.6
Kei Nishikori,43,2011,143.9,29.4,51.6,24.6,38.3
Igor Kunitsyn,44,2011,143.6,27.4,52.3,22.6,41.3
Jarkko Nieminen,45,2011,143.4,29.2,49.5,22.2,42.5
Andreas Seppi,46,2011,143.3,29.3,49.8,22.8,41.4
Mikhail Youzhny,47,2011,143.3,29.6,50.3,24.3,39.1
Michael Russell,48,2011,142.8,28.1,47.9,21.8,45.0
Marcos Baghdatis,49,2011,142.5,29.2,48.5,21.9,42.9
Thomaz Bellucci,50,2011,142.5,31.3,49.2,22.8,39.2
David Nalbandian,1,2010,168.0,33.4,56.2,32.0,46.4
Juan Carlos Ferrero,2,2010,166.2,33.6,54.5,32.0,46.1
Novak Djokovic,3,2010,165.0,33.8,54.4,32.2,44.6
Juan Ignacio Chela,4,2010,164.7,35.4,51.7,32.2,45.4
Lleyton Hewitt,5,2010,164.1,32.4,54.1,28.9,48.7
David Ferrer,6,2010,162.5,33.1,54.2,31.2,44.0
Andy Murray,7,2010,159.8,32.2,55.2,30.2,42.2
Rafael Nadal,8,2010,159.2,30.9,55.4,29.3,43.6
Nikolay Davydenko,9,2010,157.4,32.0,53.3,28.6,43.5
Juan Monaco,10,2010,155.0,34.6,50.3,27.9,42.2
Mikhail Youzhny,11,2010,153.3,29.5,52.3,27.4,44.1
Fernando Verdasco,12,2010,153.2,31.8,52.9,27.1,41.4
Marcel Granollers,13,2010,152.7,32.5,50.6,26.7,42.9
Roger Federer,14,2010,152.6,33.8,50.6,27.2,41.0
Viktor Troicki,15,2010,152.4,32.1,50.3,26.6,43.4
Robin Soderling,16,2010,150.1,29.8,51.6,25.1,43.6
Dudi Sela,17,2010,149.5,30.3,50.6,23.5,45.1
Evgeny Korolev,18,2010,149.0,30.5,49.2,25.3,44.0
Tomas Berdych,19,2010,148.8,30.9,51.7,24.2,42.0
Albert Montanes,20,2010,148.6,29.5,51.3,24.5,43.3
Stan Wawrinka,21,2010,147.8,32.0,50.2,24.8,40.8
Fabio Fognini,22,2010,147.6,31.1,52.1,24.7,39.7
Mardy Fish,23,2010,147.0,29.0,50.8,23.2,44.0
Thomaz Bellucci,24,2010,146.8,29.9,51.4,24.0,41.5
Olivier Rochus,25,2010,146.7,28.7,53.4,24.3,40.3
Philipp Kohlschreiber,26,2010,146.2,30.7,50.0,24.8,40.7
Illya Marchenko,27,2010,145.4,30.1,51.9,23.9,39.5
Lukasz Kubot,28,2010,145.3,29.6,49.7,23.0,43.0
Potito Starace,29,2010,144.9,30.7,49.2,23.7,41.3
Marin Cilic,30,2010,144.4,29.5,50.3,23.8,40.8
Jurgen Melzer,31,2010,143.6,29.8,49.4,23.9,40.5
Marcos Baghdatis,32,2010,143.4,31.1,50.3,23.9,38.1
Julien Benneteau,33,2010,143.1,27.3,52.0,23.0,40.8
Guillermo Garcia-Lopez,34,2010,142.9,29.2,51.5,23.1,39.1
Andreas Seppi,35,2010,141.7,31.2,49.4,22.8,38.3
Richard Gasquet,36,2010,141.4,29.4,49.8,23.1,39.1
Michael Russell,37,2010,141.4,27.5,51.8,21.7,40.4
Philipp Petzschner,38,2010,141.1,27.8,49.9,21.1,42.3
Gael Monfils,39,2010,140.4,30.6,49.2,22.9,37.7
Radek Stepanek,40,2010,140.4,27.4,51.0,20.8,41.2
Igor Andreev,41,2010,139.9,30.0,47.5,22.3,40.1
Jo-Wilfried Tsonga,42,2010,139.9,29.2,46.9,21.0,42.8
Florent Serra,43,2010,138.9,28.6,49.3,20.8,40.2
Michael Llodra,44,2010,138.8,28.0,46.1,19.3,45.4
Jarkko Nieminen,45,2010,138.7,28.6,49.9,22.3,37.9
Florian Mayer,46,2010,138.5,28.7,49.8,21.8,38.2
Pablo Cuevas,47,2010,138.4,32.7,47.6,21.7,36.4
Andrey Golubev,48,2010,138.4,28.7,46.6,21.0,42.1
Gilles Simon,49,2010,137.8,26.1,53.3,20.8,37.6
Nicolas Almagro,50,2010,137.5,28.7,48.7,20.8,39.3
Rafael Nadal,1,2009,170.8,33.4,56.8,33.6,47.0
Andy Murray,2,2009,169.5,34.9,55.6,33.3,45.7
David Ferrer,3,2009,161.8,32.3,55.4,31.5,42.6
Juan Monaco,4,2009,161.7,34.1,52.8,31.3,43.5
Novak Djokovic,5,2009,160.7,33.3,54.3,31.2,41.9
Nikolay Davydenko,6,2009,160.5,34.3,54.0,31.0,41.2
Fernando Verdasco,7,2009,156.3,31.4,52.6,27.8,44.5
Juan Martin del Potro,8,2009,153.3,31.2,52.6,27.3,42.2
Marcos Baghdatis,9,2009,152.5,33.7,49.0,26.3,43.5
Lleyton Hewitt,10,2009,152.1,31.3,53.3,28.2,39.3
Tommy Robredo,11,2009,151.7,31.4,51.0,25.3,44.0
Robin Soderling,12,2009,150.9,30.7,50.9,25.5,43.8
Juan Carlos Ferrero,13,2009,150.8,29.2,52.7,25.5,43.4
Gilles Simon,14,2009,150.2,30.4,51.8,25.1,42.9
Guillermo Garcia-Lopez,15,2009,149.8,30.4,52.7,26.8,39.9
Albert Montanes,16,2009,149.8,29.6,51.2,24.1,44.9
Viktor Troicki,17,2009,149.8,30.5,50.0,25.3,44.0
Radek Stepanek,18,2009,149.3,31.1,52.9,24.8,40.5
Roberto Bautista Agut,19,2009,148.5,34.9,40.5,23.1,50.0
Dudi Sela,20,2009,148.5,30.9,50.3,25.6,41.7
Marin Cilic,21,2009,148.3,33.1,50.7,26.9,37.6
Mikhail Youzhny,22,2009,147.9,30.9,51.0,25.8,40.2
Fabio Fognini,23,2009,147.3,31.5,48.4,24.9,42.5
Gael Monfils,24,2009,147.3,30.3,50.4,24.9,41.7
Roger Federer,25,2009,147.0,30.5,50.8,24.5,41.2
Philipp Kohlschreiber,26,2009,145.8,30.0,50.4,24.0,41.4
Rainer Schuettler,27,2009,145.6,27.6,52.1,22.9,43.0
Janko Tipsarevic,28,2009,145.1,28.0,50.3,23.6,43.2
Stan Wawrinka,29,2009,144.9,31.5,50.2,25.1,38.1
Mischa Zverev,30,2009,144.8,30.3,49.3,22.6,42.6
Evgeny Korolev,31,2009,144.5,27.4,51.2,22.1,43.8
Fabrice Santoro,32,2009,143.4,30.3,49.3,23.5,40.3
Christophe Rochus,33,2009,142.6,27.7,51.1,23.2,40.6
Marcel Granollers,34,2009,142.5,31.5,47.4,23.4,40.2
Mardy Fish,35,2009,141.8,28.5,50.0,21.7,41.6
Fred Gil,36,2009,141.2,27.9,49.7,21.7,41.9
Julien Benneteau,37,2009,140.9,29.3,49.7,21.7,40.2
Andreas Seppi,38,2009,140.8,31.2,50.2,24.3,35.1
Dmitry Tursunov,39,2009,139.4,27.6,49.5,21.3,41.0
Jan Hernych,40,2009,138.9,28.6,48.9,20.6,40.8
Tomas Berdych,41,2009,138.8,29.6,50.2,22.0,37.0
Pablo Cuevas,42,2009,138.8,28.9,46.6,20.1,43.2
Nicolas Almagro,43,2009,138.7,28.4,49.0,21.0,40.3
Robby Ginepri,44,2009,138.6,28.4,49.3,21.9,39.0
Jurgen Melzer,45,2009,138.3,29.9,47.4,21.4,39.6
Arnaud Clement,46,2009,137.8,27.2,51.2,20.9,38.5
Fernando Gonzalez,47,2009,137.5,29.2,48.9,21.6,37.8
Jose Acasuso,48,2009,137.3,26.9,49.7,21.7,39.0
Igor Kunitsyn,49,2009,137.1,28.6,50.0,21.2,37.3
Paul-Henri Mathieu,50,2009,136.8,26.4,48.9,19.6,41.9
Rafael Nadal,1,2008,168.0,34.5,55.5,33.5,44.5
Nikolay Davydenko,2,2008,165.9,34.0,55.1,32.4,44.4
Juan Martin del Potro,3,2008,163.5,33.0,53.5,32.0,45.0
Novak Djokovic,4,2008,162.6,32.4,53.2,29.9,47.1
David Nalbandian,5,2008,160.5,31.8,53.7,28.6,46.4
Fernando Verdasco,6,2008,159.9,33.4,52.3,29.5,44.7
Andy Murray,7,2008,158.9,33.1,54.3,29.3,42.2
